品牌,目标消费群体,分类
谜底,19-25岁,女装
雅莹,26-40岁,女装
威兰西,26-40岁,女装
亚达,不限,女装
雅莹,20-35,女装
格格,26-40岁,女装
思凡,26-40岁,女装
六甲村,26-40岁,女装
播,26-40岁,女装
欧莎,26-40岁,女装
舒朗,25-45岁,女装
ONLY,26-40岁,女装
ROUGE BY MR.RED,26-40岁,女装
琳娜希曼朵,26-40岁,女装
拉芙妮,26-40岁,女装
莱姿,26-40岁,女装
卡迪黛尔,26-40岁,女装
娜璐多,18-35,女装
倪迩麦,26-40岁,女装
依瑶,26-40岁,女装
酷酷,26-40岁,女装
欧碧倩,26-40岁,女装
朵拉芭娜,26-40岁,女装
奥菲曼,30-40,女装
艾奈尔,26-40岁,女装
23区,不限,女装
凡诗可,26-40岁,女装
伊娜薇,28-45岁,女装
爱泊蕾,26-40岁,女装
A领,26-40岁,女装
阿桑娜,26-40岁,女装
a.y.k,26-40岁,女装
艾思德妮 ,26-40岁,女装
艾慧嘉尔,26-40岁,女装
阿陀力,25-38,女装
a立方女装,19-25岁,女装
娅莉婕,23-45,女装
艾哲,26-40岁,女装
卡雷尔,26-40岁,女装
快乐屋,26-40岁,女装
TH2011,20-35,女装
恩瑞妮,26-40岁,女装
米兰朵,26-40岁,女装
38周,26-40岁,女装
MANO,19-25岁,女装
君心,26-40岁,女装
时尚轩,26-40岁,女装
乔万尼,30-50岁,女装
佐尔美,26-40岁,女装
元田树,26-40岁,女装
金嘉德,26-40岁,女装
千百惠,20-40,女装
布根香,26-40岁,女装
坦博尔,不限,女装
太平鸟,26-40岁,女装
乐町,16-28,女装
纳纹,20-38,女装
江南布衣,26-40岁,女装
爱博尔,26-40岁,女装
蓝冰,19-25岁,女装
百芙伦,26-40岁,女装
千仞岗,0-3岁,女装
生活秀,19-25岁,女装
芙蓉天使,26-40岁,女装
玛莉梦娜,不限,女装
歌薇网,20-45,女装
非粼,18-45,女装
茜茜.沃,28-40,女装
ME&CITY,26-40岁,女装
菲妮迪,26-40岁,女装
瑞琦,26-40岁,女装
歌力思,26-40岁,女装
艾米索,26-40岁,女装
雅威,26-40岁,女装
播秀,25-33,女装
裙皇·可人儿,25-45,女装
独角马,19-25岁,女装
可为,26-40岁,女装
瑞玫尔,22-38,女装
爱慕说,26-40岁,女装
格子廊,26-40岁,女装
欧卡桑,26-40岁,女装
ik时尚女装,20-38,女装
雅淑,30-45,女装
碧可,26-40岁,女装
夏蔻,26-40岁,女装
衣典、零典,19-25岁,女装
名诗媛,26-40岁,女装
尤加迪曼,18-45,女装
a.y.k,26-40岁,女装
天纳吉儿,28-45,女装
俪思、红人,19-25岁,女装
雅轩菲格,22-42岁,女装
指间沙,26-46岁,女装
奥扉,26-40岁,女装
埃文,25-45岁,女装
冰魔,26-40岁,女装
昕念,18-45岁,女装
欧力嘉,26-40岁,女装
cn,26-40岁,女装
登凯瑞,26-40岁,女装
简画,26-40岁,女装
玫而美,28-55岁,女装
黧姿,26-40岁,女装
啪歌,26-40岁,女装
凯迪·米拉,23-33,女装
依维妮,28-45岁,女装
千细,26-40岁,女装
姚领,28-45岁,女装
蔓延,26-40岁,女装
思媚秀,22-38岁,女装
巧帛,26-40岁,女装
古色,28-40岁,女装
萨玛莉丹,26-40岁,女装
月亮人,26-40岁,女装
新丝路,26-40岁,女装
浪之醉,26-40岁,女装
杉杉,25-45岁,男装
卡度尼,28-45 ,男装
傲物尚品,26-40岁,男装
HS男装,18-35岁,男装
金甲,25-35,男装
罗蒙,22-55,男装
添多利,25-55岁,男装
袋鼠,25-45岁,男装
啄木鸟,30-45岁,男装
法拉狄奥,26-40岁,男装
希特,18-40,男装
劳夫罗伦,26-40岁,男装
线锁,28-40岁,男装
诺奇,26-40岁,男装
佐纳利,20-40,男装
欧森朗,26-40岁,男装
莎斯莱思,26-40岁,男装
富绅,26-40岁,男装
唐束,20-45,男装
意树,25-50岁,男装
新升流派,20-40岁,男装
久久厘米,19-35,男装
它钴,18-45岁,男装
金利来,26-40岁,男装
凯帝龙驰,30-55岁,男装
才子,20-50,男装
昊鑫凯.德金,18-35,男装
RED.P.G,25-38岁,男装
翡翠男装,20-40,男装
迪柯顿,25-45岁,男装
绩派,26-40岁,男装
好旺世家,26-40岁,男装
意克莱斯  ,26-40岁,男装
 雨果·博斯,26-40岁,男装
博铂定制,26-40岁,男装
